title,type,author,date,url,summary
Free Muni for Seniors (ages 65+),government,San Francisco Municipal Transportation Agency,2025-07-01,https://www.sfmta.com/fares/free-muni-seniors-ages-65,Official Free Muni for Seniors page: low- and moderate-income San Francisco seniors can ride Muni for free with a Clipper card.
Governor Newsom signs legislation authorizing $590 million emergency loan to Bay Area Transit,government,Office of Governor Gavin Newsom,2026-02-19,https://www.gov.ca.gov/2026/02/19/governor-newsom-signs-legislation-authorizing-590-million-emergency-loan-to-bay-area-transit/,"Governor's announcement of a $590 million emergency loan for BART, Muni, Caltrain, and AC Transit to stabilize service while the region works on long-term funding."
Governor Signs Bill Authorizing Loan for Bay Area Transit Agencies,government,Metropolitan Transportation Commission,2026-02-19,https://mtc.ca.gov/news/governor-signs-bill-authorizing-loan-bay-area-transit-agencies,"MTC explanation of the Bay Area transit loan, affected agencies, and near-term role in averting service cuts."
Low Carbon Transit Operations Program (LCTOP),government,Caltrans,2026-01-01,https://dot.ca.gov/programs/rail/low-carbon-transit-operations-program-lctop,"Caltrans program page stating LCTOP can provide operating and capital assistance for transit agencies, with priority on disadvantaged communities."
State Transit Assistance County Block Grant,government,San Francisco County Transportation Authority,2026-01-01,https://www.sfcta.org/funding/state-transit-assistance-county-block-grant,"SFCTA description of STA funds as flexible transit funding that can support a wide range of operating and capital needs, including lifeline services."
Commute Support Program,government,San Francisco Municipal Transportation Agency,2026-01-01,https://www.sfmta.com/commute-support-program,SFMTA employer-commute page describing discounted Muni tickets and support for employers and commuters.
Commuter Benefits Ordinance,government,San Francisco Environment Department,2026-01-01,https://www.sfenvironment.org/commuter-benefits-ordinance-sf,"City ordinance page requiring covered employers to provide commuter benefits, including an employer-paid transit subsidy option tied to the Muni A Pass."
Fares - RideKC,government,Kansas City Area Transportation Authority,2026-01-29,https://ridekc.org/fares,"Official RideKC fares page noting that buses operated fare-free for several years and that fares will return June 1, 2026."
Transit Zero Fare Impact Analysis,report,Mid-America Regional Council,2022-04-01,https://www.marc.org/sites/default/files/2022-04/Transit-Zero-Fare-Impact-Analysis.pdf,"Regional analysis of KCATA's zero-fare program, including stated goals such as mobility, equity, efficiency, and reducing fare disputes."
Transit Access Partnership / Zero Fare,government,Greater Richmond Transit Company,2026-01-01,https://www.ridegrtc.com/community/transit-access-partnership-2/,GRTC page stating the agency is a national leader in providing zero-fare transit and that current support depends on a state grant and community backing.
"Decrypting fare-free public transport in Tallinn, Estonia",academic,Daniel Baldwin Hess,2017-01-01,https://archplan.buffalo.edu/research/researchprojects.host.html/content/shared/ap/articles/work/2017/free-fare-public-transit.detail.html,Academic synthesis concluding Tallinn's fare-free policy helped arrest ridership decline but did not generate a major car-to-transit mode shift.
Luxembourg's experience with free public transport,government,European Commission Urban Mobility Observatory,2022-07-19,https://urban-mobility-observatory.transport.ec.europa.eu/news-events/news/luxembourgs-experience-free-public-transport-2022-07-19_en,European policy note on Luxembourg becoming the first country to make public transport free at the point of use nationwide.
Summer 2025 Muni Service Cuts,government,San Francisco Municipal Transportation Agency,2025-06-21,https://www.sfmta.com/projects/summer-2025-muni-service-cuts,Official page describing 2025 service reductions and associated savings as part of balancing the near-term budget.
